tag,question_id,title,view_count,tags,creation_timestamp,creation_date,question_view_count_rank,total_valid_questions,tag_offset
android-layout,12128331,How to change fontFamily of TextView in Android,976288,android|android-layout|textview|typeface,2012-08-26 07:19:17.997,1345965557997000,1,22031,0
android-layout,3496269,How to put a border around an Android TextView?,875256,android|android-layout|textview|border|android-shapedrawable,2010-08-16 18:50:27.807,1281984627807000,2,22031,0
android-layout,2394935,Can I underline text in an Android layout?,650416,android|android-layout|fonts,2010-03-07 02:26:35.263,1267928795263000,3,22031,0
android-layout,9294603,How do I get the currently displayed fragment?,554536,android|android-layout|android-intent|android-fragments,2012-02-15 13:49:02.730,1329313742730000,4,22031,0
android-layout,16694786,How to customize a Spinner in Android,465467,android|android-layout|android-spinner,2013-05-22 14:42:33.977,1369233753977000,5,22031,0
android-layout,2335813,How to inflate one view with a layout,447688,android|android-layout|layout-inflater|android-inflate,2010-02-25 16:47:51.280,1267116471280000,6,22031,0
android-layout,6014028,Closing Application with Exit button,444909,android|android-layout|layout|exit,2011-05-16 06:50:29.170,1305528629170000,7,22031,0
android-layout,8203606,Android: how to draw a border to a LinearLayout,412817,android|android-layout|draw,2011-11-20 18:17:26.017,1321813046017000,8,22031,0
android-layout,28460300,How to build a horizontal ListView with RecyclerView,406362,android|android-layout|android-recyclerview,2015-02-11 17:11:26.140,1423674686140000,9,22031,0
android-layout,14483393,How do I change the android actionbar title and icon,404845,android|android-layout|android-actionbar,2013-01-23 15:38:24.290,1358955504290000,10,22031,0
android-layout,3591784,View's getWidth() and getHeight() returns 0,388561,java|android|android-layout|getter,2010-08-28 17:47:02.127,1283017622127000,11,22031,0
android-layout,3995825,What does android:layout_weight mean?,373995,android|android-layout|android-widget,2010-10-22 10:10:58.267,1287742258267000,12,22031,0
android-layout,14779688,Put buttons at bottom of screen with LinearLayout?,367658,android|xml|android-layout|button|android-linearlayout,2013-02-08 19:10:38.807,1360350638807000,13,22031,0
android-layout,26492522,How do I remove the title bar from my app?,361852,android|android-layout,2014-10-21 17:18:53.293,1413911933293000,14,22031,0
android-layout,17565307,How to display count of notifications in app launcher icon,359263,android|android-layout|notifications|icons,2013-07-10 07:58:50.840,1373443130840000,15,22031,0
android-layout,32671004,How to change the color of a button?,337048,android|android-layout|android-button,2015-09-19 17:10:46.490,1442682646490000,16,22031,0
android-layout,4182486,Placing/Overlapping(z-index) a view above another view in android,336481,android|android-layout|z-index,2010-11-15 08:03:43.147,1289808223147000,17,22031,0
android-layout,11723881,Android: set view style programmatically,335400,android|android-layout,2012-07-30 14:47:50.637,1343659670637000,18,22031,0
android-layout,8049620,How to set layout_gravity programmatically?,332398,android|android-layout,2011-11-08 11:23:29.837,1320751409837000,19,22031,0
android-layout,26574328,Changing EditText bottom line color with appcompat v7,325998,java|android|android-layout|android-edittext|android-styles,2014-10-26 14:56:37.983,1414335397983000,20,22031,0
android-layout,5854047,How to change the color of a CheckBox?,321897,android|android-layout|android-checkbox,2011-05-02 06:22:27.750,1304317347750000,21,22031,0
android-layout,9685658,Add padding on view programmatically,321347,android|android-layout|android-emulator|android-widget|padding,2012-03-13 14:08:55.317,1331647735317000,22,22031,0
android-layout,26724964,How to animate RecyclerView items when they appear,315041,android|android-layout|android-recyclerview,2014-11-03 23:10:44.547,1415056244547000,23,22031,0
android-layout,4502605,How to programmatically set drawableLeft on Android button?,312855,java|android|android-layout|android-2.2-froyo,2010-12-21 18:26:24.573,1292955984573000,24,22031,0
android-layout,22966143,Android button with icon and text,304165,android|android-layout|android-button,2014-04-09 14:45:42.023,1397054742023000,25,22031,0
android-layout,3294590,Set the absolute position of a view,283912,android|android-layout|layout|view|position,2010-07-20 21:40:20.693,1279662020693000,26,22031,0
android-layout,3775705,How set the android:gravity to TextView from Java side in Android,275291,android|android-layout|textview|gravity,2010-09-23 05:45:31.210,1285220731210000,27,22031,0
android-layout,11078487,"What's ""tools:context"" in Android layout files?",266599,android|xml|android-layout|android-context|android-tools-namespace,2012-06-18 07:25:48.703,1340004348703000,28,22031,0
android-layout,43143468,How to center the elements in ConstraintLayout,266538,android|android-layout|android-constraintlayout,2017-03-31 14:42:15.607,1490971335607000,29,22031,0
android-layout,8977212,How is using OnClickListener interface different via XML and Java code?,260727,java|android|xml|android-layout|android-button,2012-01-23 19:10:26.307,1327345826307000,30,22031,0
